ID,block,trial_n,dim_onset,angle_correct,angle_chosen,choice,acc,tResp_1,conf_rating,tResp_2,x1,x2,x3,y1,y2,y3,PID,session,block_c
02al01,2,4,2,-15.4153,NA,NA,NA,NA,NA,NA,-19.0659,-26.0814,-31.5027,17.5019,7.1915,18.4223,02al,1,2
02al01,2,5,2,-15.1408,NA,NA,NA,NA,NA,NA,-30.5694,-18.5699,-27.5106,19.5338,16.1379,7.444,02al,1,2
02al01,2,6,8,-28.0748,-28.0748,1,1,3.9533,0.883,1.7416,-32.1852,-19.8116,-24.6532,17.1672,18.7205,7.2279,02al,1,2
02al01,3,1,8,-40.5367,NA,NA,NA,NA,NA,NA,-31.9459,-25.2156,-19.4885,11.0654,21.5641,10.4862,02al,1,3
02al01,3,2,5,-28.0947,NA,NA,NA,NA,NA,NA,-24.6658,-32.1803,-19.8039,7.2264,17.1789,18.7104,02al,1,3
02al01,3,3,5,-35.57,NA,NA,NA,NA,NA,NA,-29.3346,-28.9622,-18.3532,8.2468,20.712,14.1569,02al,1,3
02al01,3,4,8,-33.0383,-33.0383,2,1,3.4342,0.555,8.445,-27.7975,-30.3501,-18.5024,7.5316,19.7384,15.8456,02al,1,3
02al01,3,5,8,-22.4913,-42.7537,2,0,2.6703,0.9273,1.9577,-32.7017,-22.6948,-21.2535,13.5397,20.9816,8.5944,02al,1,3
02al01,3,6,2,-19.644,-19.644,3,1,7.1722,0.539,1.5882,-24.7657,-19.7439,-32.1404,21.529,10.1141,11.4725,02al,1,3
02al02,1,1,2,-27.1629,NA,NA,NA,NA,NA,NA,-24.0767,-32.3901,-20.1832,7.3242,16.6198,19.1716,02al,2,4
02al02,1,2,8,-27.9665,NA,NA,NA,NA,NA,NA,-19.5557,-32.0013,-25.0929,10.3833,11.175,21.5574,02al,2,4
02al02,1,3,5,-43.3702,-43.3702,3,1,4.989,0.6011,2.3294,-24.6754,-32.1765,-19.7981,7.2252,17.1877,18.7027,02al,2,4
02al02,1,4,5,-19.9063,NA,NA,NA,NA,NA,NA,-19.8723,-32.2233,-24.5544,9.9443,11.6687,21.5027,02al,2,4
02al02,1,5,5,-43.3458,NA,NA,NA,NA,NA,NA,-21.6146,-22.2961,-32.7392,20.4012,7.9491,14.7653,02al,2,4
02al02,1,6,2,-41.6461,NA,NA,NA,NA,NA,NA,-30.9352,-18.7186,-26.9962,19.1509,16.6461,7.3186,02al,2,4
02al02,1,7,2,-18.8395,NA,NA,NA,NA,NA,NA,-21.2322,-22.7192,-32.6986,20.1335,7.7517,15.2304,02al,2,4
02al02,1,8,8,-42.124,NA,NA,NA,NA,NA,NA,-23.5362,-20.5704,-32.5434,21.2845,9.1715,12.6596,02al,2,4
02al02,1,9,5,-37.978,NA,NA,NA,NA,NA,NA,-30.6929,-27.3423,-18.6147,9.333,21.3452,12.4374,02al,2,4
02al02,1,10,5,-33.373,NA,NA,NA,NA,NA,NA,-30.7993,-27.1931,-18.6576,9.4439,21.3819,12.2898,02al,2,4
02al02,1,11,2,-16.3734,NA,NA,NA,NA,NA,NA,-24.6166,-32.1995,-19.834,7.2326,17.1331,18.7499,02al,2,4
02al02,1,12,2,-41.5122,-31.9388,3,0,4.598,0.5993,3.6643,-18.6831,-27.1088,-30.8581,16.5365,7.3426,19.2365,02al,2,4
02al02,1,13,8,-42.3133,NA,NA,NA,NA,NA,NA,-31.344,-18.9514,-26.3547,18.6462,17.2525,7.217,02al,2,4
02al02,1,14,5,-16.336,NA,NA,NA,NA,NA,NA,-28.0375,-18.4548,-30.1577,21.1285,13.1478,8.8393,02al,2,4
02al02,1,15,5,-42.7773,NA,NA,NA,NA,NA,NA,-31.6637,-19.1996,-25.7867,18.1749,17.7649,7.1758,02al,2,4
02al02,1,16,2,-15.7267,NA,NA,NA,NA,NA,NA,-19.3546,-25.4707,-31.8247,18.0403,7.1723,17.903,02al,2,4
02al02,2,1,2,-35.9918,-35.9918,3,1,1.8303,0.9326,2.8483,-29.9762,-28.2549,-18.4189,8.6931,21.0445,13.3781,02al,2,5
02al02,2,2,8,-26.1626,-26.1626,2,1,3.9311,0.8209,2.8813,-23.4505,-32.5642,-20.6354,7.4848,15.9972,19.6337,02al,2,5
02al02,2,3,8,-15.7783,NA,NA,NA,NA,NA,NA,-25.3879,-31.8648,-19.3972,7.1737,17.8306,18.1113,02al,2,5
02al02,2,4,8,-15.8861,NA,NA,NA,NA,NA,NA,-28.6664,-18.3708,-29.6128,20.8625,13.8254,8.4277,02al,2,5
02al02,2,5,5,-15.307,NA,NA,NA,NA,NA,NA,-28.4799,-29.7808,-18.3893,7.795,20.1977,15.123,02al,2,5
02al02,2,6,8,-39.0777,NA,NA,NA,NA,NA,NA,-31.2623,-26.4895,-18.8982,9.989,21.5103,11.6163,02al,2,5
02al02,3,1,2,-15.6809,NA,NA,NA,NA,NA,NA,-28.9986,-18.3521,-29.2993,20.6922,14.1983,8.2251,02al,2,6
02al02,3,2,8,-15.3177,NA,NA,NA,NA,NA,NA,-29.7518,-18.3856,-28.5125,20.2186,15.0874,7.8096,02al,2,6
02al02,3,3,2,-29.3671,-42.9843,3,0,3.7992,0.7748,4.1117,-25.4752,-31.8224,-19.3523,7.1723,17.9069,18.0364,02al,2,6
02al02,3,4,2,-33.4502,NA,NA,NA,NA,NA,NA,-18.452,-28.0529,-30.1451,15.5798,7.6209,19.9149,02al,2,6
02al02,3,5,5,-34.396,NA,NA,NA,NA,NA,NA,-29.644,-18.3737,-28.6323,20.2947,14.956,7.865,02al,2,6
02al02,3,6,5,-15.6689,NA,NA,NA,NA,NA,NA,-25.5681,-31.7763,-19.3056,7.1719,17.9875,17.9562,02al,2,6
02al03,1,1,8,-18.9095,-28.7199,2,0,5.057,0.6383,4.1777,-25.3844,-19.3991,-31.8665,21.57,10.6294,10.9162,02al,3,7
02al03,1,2,8,-18.7072,NA,NA,NA,NA,NA,NA,-21.1656,-22.7963,-32.6882,20.083,7.7193,15.3134,02al,3,7
02al03,1,3,5,-43.4084,-24.5697,2,0,9.1019,0.4521,2.6102,-22.4733,-32.7258,-21.451,7.8624,14.9621,20.2912,02al,3,7
02al03,1,4,2,-25.439,NA,NA,NA,NA,NA,NA,-24.1029,-20.1654,-32.3817,21.4249,9.5921,12.0986,02al,3,7
02al03,1,5,2,-20.7469,NA,NA,NA,NA,NA,NA,-32.4422,-23.9075,-20.3003,12.2893,21.382,9.4443,02al,3,7
02al03,1,6,8,-26.8597,NA,NA,NA,NA,NA,NA,-20.3154,-23.8861,-32.4486,19.3154,7.3668,16.4334,02al,3,7
02al03,1,7,8,-26.9996,NA,NA,NA,NA,NA,NA,-20.2539,-23.9739,-32.4222,19.2495,7.3465,16.5196,02al,3,7
02al03,1,8,2,-36.2802,NA,NA,NA,NA,NA,NA,-18.3852,-29.7482,-28.5166,13.6608,8.5225,20.9323,02al,3,7
02al03,1,9,2,-16.6115,NA,NA,NA,NA,NA,NA,-18.5255,-30.4304,-27.6941,12.7921,9.0784,21.2452,02al,3,7
02al03,1,10,8,-18.8766,NA,NA,NA,NA,NA,NA,-32.7014,-21.2508,-22.6979,15.2074,20.1474,7.7609,02al,3,7
02al03,1,11,8,-43.5591,NA,NA,NA,NA,NA,NA,-32.4608,-20.3451,-23.8441,16.392,19.3467,7.3769,02al,3,7
02al03,1,12,2,-18.9913,NA,NA,NA,NA,NA,NA,-25.3134,-19.4363,-31.9003,21.568,10.5689,10.9787,02al,3,7
02al03,1,13,2,-31.6947,NA,NA,NA,NA,NA,NA,-26.9548,-30.9631,-18.732,7.3103,19.1193,16.6861,02al,3,7
02al03,1,14,8,-37.5003,NA,NA,NA,NA,NA,NA,-30.4343,-27.6891,-18.5266,9.0819,21.2468,12.7869,02al,3,7
02al03,1,15,8,-40.1274,-33.4979,2,0,5.1318,0.7801,4.081,-28.0824,-30.1208,-18.4468,7.6319,19.9349,15.5488,02al,3,7
02al03,1,16,2,-42.6965,-42.6965,1,1,2.1455,0.922,1.5988,-22.779,-21.1804,-32.6906,21.0173,8.6494,13.4489,02al,3,7
02al03,2,1,5,-32.8562,-32.8562,1,1,3.0417,0.9096,1.6017,-30.4381,-18.5278,-27.6841,19.6583,15.9619,7.4954,02al,3,8
02al03,2,2,2,-36.6713,NA,NA,NA,NA,NA,NA,-29.7263,-28.5411,-18.3826,8.5068,20.9212,13.6876,02al,3,8
02al03,2,3,5,-19.8869,-19.8869,1,1,3.3414,0.5408,3.9212,-32.2174,-24.5699,-19.8627,11.6542,21.5049,9.9566,02al,3,8
02al03,2,4,2,-42.8641,-42.8641,1,1,2.1248,0.8546,2.0536,-19.2593,-25.6621,-31.7286,17.8744,7.1727,18.0685,02al,3,8
02al03,2,5,5,-43.5464,-17.0611,2,0,8.0223,0.3333,1.4403,-20.2683,-23.9532,-32.4285,19.2651,7.3512,16.4994,02al,3,8
02al03,2,6,8,-42.5759,NA,NA,NA,NA,NA,NA,-22.9505,-21.0349,-32.6646,21.0862,8.7635,13.2659,02al,3,8
02al03,3,1,5,-43.4892,-43.4892,1,1,3.8837,0.7057,2.2118,-21.1937,-22.7636,-32.6927,20.1044,7.7329,15.2783,02al,3,9
02al03,3,2,2,-17.8818,NA,NA,NA,NA,NA,NA,-23.323,-32.5931,-20.7339,7.5249,15.8667,19.724,02al,3,9
02al03,3,3,8,-16.3486,-16.3486,2,1,2.5707,0.8865,2.541,-18.4578,-30.1709,-28.0213,13.1308,8.8504,21.1345,02al,3,9
02al03,3,4,2,-21.4801,-42.2521,1,0,7.3949,0.4628,1.8178,-23.3777,-20.6914,-32.581,21.2363,9.0583,12.8209,02al,3,9
02al03,3,5,5,-22.042,-22.042,1,1,4.782,0.6755,5.0809,-32.6577,-22.9916,-21.0007,13.2224,21.102,8.7912,02al,3,9
02al03,3,6,8,-36.1015,-36.6101,2,0,2.1089,0.9131,1.5362,-29.937,-28.3007,-18.4122,8.6627,21.0257,13.4272,02al,3,9
02al04,1,1,8,-33.4965,NA,NA,NA,NA,NA,NA,-28.0815,-30.1215,-18.447,7.6316,19.9344,15.5497,02al,4,10
02al04,1,2,8,-17.562,NA,NA,NA,NA,NA,NA,-18.8384,-31.1633,-26.6483,11.7652,9.8629,21.4876,02al,4,10
02al04,1,3,2,-42.4414,-42.4414,2,1,2.3246000000000002,0.9255,1.2269,-32.632,-23.133,-20.8849,13.0739,21.1541,8.8876,02al,4,10
02al04,1,4,5,-27.2401,NA,NA,NA,NA,NA,NA,-24.1253,-32.3744,-20.1503,7.3142,16.6669,19.1345,02al,4,10
02al04,1,5,5,-39.9141,NA,NA,NA,NA,NA,NA,-30.0147,-18.4258,-28.2095,20.0205,15.4141,7.6811,02al,4,10
02al04,1,6,8,-15.606,NA,NA,NA,NA,NA,NA,-29.1688,-29.1311,-18.35,8.1474,20.6181,14.3501,02al,4,10
02al04,1,7,8,-41.7037,NA,NA,NA,NA,NA,NA,-30.9689,-18.7349,-26.9463,19.1127,16.6943,7.3086,02al,4,10
02al04,1,8,8,-40.5837,NA,NA,NA,NA,NA,NA,-25.1712,-19.5127,-31.9662,21.5619,10.4488,11.1049,02al,4,10
02al04,1,9,5,-31.0483,NA,NA,NA,NA,NA,NA,-31.386,-26.2839,-18.9801,10.1551,21.5344,11.4262,02al,4,10
02al04,1,10,5,-31.2496,NA,NA,NA,NA,NA,NA,-26.6731,-31.1475,-18.8294,7.26,18.9005,16.9552,02al,4,10
02al04,1,11,8,-23.2546,NA,NA,NA,NA,NA,NA,-21.6925,-32.7437,-22.2138,8.2924,14.0709,20.7523,02al,4,10
02al04,1,12,8,-31.4858,-31.4858,1,1,2.3745,0.9397,4.3373,-31.0508,-18.7764,-26.8227,19.0174,16.813,7.2853,02al,4,10
02al04,1,13,8,-41.3832,-41.3832,1,1,2.7442,0.9291,2.3173,-24.373,-19.987,-32.29,21.475,9.801,11.8396,02al,4,10
02al04,1,14,5,-18.0445,NA,NA,NA,NA,NA,NA,-20.8215,-23.2121,-32.6165,19.8015,7.562,15.7521,02al,4,10
02al04,1,15,5,-39.7883,NA,NA,NA,NA,NA,NA,-19.1505,-31.6072,-25.8923,11.0724,10.4795,21.5637,02al,4,10
02al04,1,16,8,-25.8767,NA,NA,NA,NA,NA,NA,-20.0498,-32.3239,-24.2763,9.7256,11.9317,21.4583,02al,4,10
02al04,2,1,5,-29.6575,NA,NA,NA,NA,NA,NA,-31.7295,-19.2602,-25.6603,18.067,17.8759,7.1727,02al,4,11
02al04,2,2,8,-43.2889,NA,NA,NA,NA,NA,NA,-24.8849,-32.0913,-19.6739,7.2027,17.3804,18.5325,02al,4,11
02al04,2,3,2,-15.2619,NA,NA,NA,NA,NA,NA,-31.2372,-18.8825,-26.5303,18.7873,17.0894,7.2389,02al,4,11
02al04,2,4,2,-20.8872,NA,NA,NA,NA,NA,NA,-20.3739,-32.4723,-23.8038,9.3671,12.3916,21.3569,02al,4,11
02al04,2,5,8,-32.3317,NA,NA,NA,NA,NA,NA,-31.0766,-26.7833,-18.7901,9.757,21.4655,11.8932,02al,4,11
02al04,2,6,2,-15.1775,NA,NA,NA,NA,NA,NA,-30.98,-18.7403,-26.9297,19.1,16.7103,7.3053,02al,4,11
02al04,3,1,8,-35.6703,-15.7387,2,0,2.3937,0.5922,3.1181,-18.3556,-29.3935,-28.9008,14.0874,8.2836,20.7446,02al,4,12
02al04,3,2,2,-19.1302,-40.5596,1,0,2.6892,0.5514,2.3044,-25.194,-19.5002,-31.9557,21.5631,10.468,11.0845,02al,4,12
02al04,3,3,5,-25.7979,-18.0264,3,0,3.3031,0.3936,1.5593,-32.614,-20.8118,-23.2242,15.7647,19.7931,7.5579,02al,4,12
02al04,3,4,2,-23.2678,-23.2678,2,1,2.1331,1,1.5452,-21.7002,-32.7441,-22.2057,8.2875,14.08,20.7481,02al,4,12
02al04,3,5,5,-24.4179,-24.4179,3,1,2.6135,0.766,1.2311,-21.5348,-22.3818,-32.7334,20.3484,7.9064,14.860900000000001,02al,4,12
02al04,3,6,5,-21.7157,-42.8393,1,0,2.7581,0.9255,1.9368,-22.5645,-21.3687,-32.7168,20.9237,8.5104,13.6815,02al,4,12
02LF01,1,1,8,-37.3823,-35.7573,2,0,7.4736,1,2.955,-29.4446,-28.8472,-18.3583,8.3161,20.7725,14.027,02LF,1,1
02LF01,1,2,8,-22.5686,-22.5686,1,1,3.4627,1,4.1149,-32.7079,-22.6448,-21.2974,13.594,20.9597,8.5619,02LF,1,1
02LF01,1,3,2,-43.4946,-43.4946,1,1,4.8269,0.7624,4.7348,-21.1732,-22.7874,-32.6894,20.0888,7.723,15.3038,02LF,1,1
02LF01,1,4,5,-43.5591,NA,NA,NA,NA,NA,NA,-32.622,-20.8435,-23.1845,15.7235,19.8206,7.5715,02LF,1,1
02LF01,1,5,8,-23.8791,-42.1744,1,0,2.056,0.7606,1.2191,-23.4745,-20.6171,-32.5585,21.2662,9.1272,12.7222,02LF,1,1
02LF01,1,6,5,-17.2837,NA,NA,NA,NA,NA,NA,-30.9749,-26.9372,-18.7378,9.638,21.437,12.0407,02LF,1,1
02LF01,1,7,5,-42.1885,-30.9562,3,0,1.9512,0.7163,1.5434,-18.8991,-26.487,-31.2639,17.1298,7.2331,18.7527,02LF,1,1
02LF01,1,8,5,-17.262,-17.262,2,1,2.3554,0.8422,1.3064,-18.7303,-30.9595,-26.9602,12.0629,9.6203,21.4324,02LF,1,1
02LF01,2,1,8,-43.3451,-43.3451,1,1,1.2826,0.8741,1.3285,-21.6161,-22.2945,-32.7393,20.4022,7.9499,14.7635,02LF,1,2
02LF01,2,2,2,-41.0298,-15.1403,1,0,1.081,0.828,1.4804,-27.4829,-30.59,-18.5771,7.4362,19.5137,16.1658,02LF,1,2
02LF01,2,3,2,-20.4734,-23.5896,2,0,1.8831,0.8422,0.9456,-21.8887,-32.7497,-22.0116,8.1723,14.3009,20.6424,02LF,1,2
02LF01,2,4,8,-18.0132,NA,NA,NA,NA,NA,NA,-31.4333,-26.2029,-19.0139,10.2213,21.5422,11.3521,02LF,1,2
02LF01,2,5,5,-15.1751,NA,NA,NA,NA,NA,NA,-30.2576,-18.4783,-27.9141,19.8196,15.7249,7.5711,02LF,1,2
02LF01,2,6,5,-16.3197,NA,NA,NA,NA,NA,NA,-28.0586,-18.451,-30.1403,21.1207,13.17,8.8249,02LF,1,2
02LF01,2,7,8,-32.1015,NA,NA,NA,NA,NA,NA,-18.6522,-27.2113,-30.7865,16.436,7.3662,19.3135,02LF,1,2
02LF01,2,8,5,-42.7983,-22.5953,1,0,1.9435,0.7855,1.6183,-32.7099,-22.6276,-21.3126,13.6127,20.9521,8.5509,02LF,1,2
02LF01,2,9,5,-15.8437,NA,NA,NA,NA,NA,NA,-29.5524,-28.7321,-18.3656,8.3868,20.8306,13.8983,02LF,1,2
02LF01,2,10,8,-19.2432,NA,NA,NA,NA,NA,NA,-19.5528,-31.999,-25.0982,10.3877,11.1703,21.5577,02LF,1,2
02LF01,2,11,5,-22.0604,-22.0604,1,1,2.8543,0.5035,1.9073,-21.2372,-32.6994,-22.7134,8.6065,13.5196,20.9896,02LF,1,2
02LF01,2,12,8,-42.7142,NA,NA,NA,NA,NA,NA,-22.7532,-21.2027,-32.6941,21.0065,8.6325,13.4767,02LF,1,2
02LF01,2,13,8,-40.7523,NA,NA,NA,NA,NA,NA,-32.0379,-25.0098,-19.6023,11.2499,21.5516,10.3142,02LF,1,2
02LF01,2,14,8,-18.6373,-25.1694,2,0,1.8571,0.7695,2.0212,-22.8377,-32.6822,-21.1301,7.7023,15.3577,20.0556,02LF,1,2
02LF01,3,1,5,-38.306,-17.1355,3,0,2.9504,0.4167,1.545,-27.0962,-18.687,-30.8668,21.4039,12.1949,9.5168,02LF,1,3
02LF01,3,2,8,-40.4658,NA,NA,NA,NA,NA,NA,-25.2821,-19.4529,-31.915,21.5669,10.5424,11.0064,02LF,1,3
02LF01,3,3,2,-17.207,-43.5604,1,0,10.8062,0.578,2.2736,-20.3545,-23.831,-32.4646,19.3565,7.3801,16.379,02LF,1,3
02LF01,3,4,5,-42.4933,NA,NA,NA,NA,NA,NA,-31.4634,-19.0361,-26.1505,18.4794,17.4393,7.197,02LF,1,3
02LF01,3,5,2,-20.3745,NA,NA,NA,NA,NA,NA,-32.75,-21.9664,-21.9337,14.353,20.6167,8.146,02LF,1,3
02LF01,3,6,2,-25.7114,NA,NA,NA,NA,NA,NA,-32.3461,-24.2109,-20.0929,11.9944,21.4463,9.675,02LF,1,3
02LF02,1,1,8,-37.0066,NA,NA,NA,NA,NA,NA,-18.3693,-29.5962,-28.6846,13.8455,8.4163,20.8537,02LF,2,4
02LF02,1,2,8,-43.4488,NA,NA,NA,NA,NA,NA,-21.3315,-22.6062,-32.7123,20.2066,7.8012,15.1078,02LF,2,4
02LF02,1,3,5,-35.5298,-35.5298,2,1,2.7942,0.4255,0.9405,-29.3109,-28.9867,-18.3524,8.2322,20.6987,14.1847,02LF,2,4
02LF02,1,4,2,-43.4587,NA,NA,NA,NA,NA,NA,-32.7081,-21.2995,-22.6423,15.1471,20.1834,7.7851,02LF,2,4
02LF02,1,5,8,-20.7615,-20.7615,2,1,1.7686,0.5089,1.6063,-20.3079,-32.4454,-23.8966,9.4362,12.2999,21.3795,02LF,2,4
02LF02,1,6,8,-30.5983,NA,NA,NA,NA,NA,NA,-26.1097,-19.0536,-31.4866,21.5501,11.2675,10.298,02LF,2,4
02LF02,1,7,8,-41.83,NA,NA,NA,NA,NA,NA,-32.4495,-23.8828,-20.3177,12.3136,21.3762,9.4259,02LF,2,4
02LF02,1,8,8,-15.2387,-15.2387,3,1,2.0821,0.3333,0.7789,-29.9899,-18.4213,-28.2388,20.04,15.3829,7.6928,02LF,2,4
02LF02,1,9,2,-36.6386,-15.9791,3,0,7.2546,0.4752,1.8741,-28.5273,-18.3841,-29.7387,20.9275,13.6725,8.5157,02LF,2,4
02LF02,1,10,8,-31.7359,-41.6639,1,0,2.4182,0.4557,0.842,-18.7236,-26.9808,-30.9456,16.661,7.3155,19.1392,02LF,2,4
02LF02,1,11,8,-26.4964,-43.5725,1,0,2.8575,0.477,1.3372,-20.4794,-23.6585,-32.5121,19.4835,7.4248,16.2074,02LF,2,4
02LF02,2,1,5,-37.3791,-37.3791,3,1,2.1037,0.5319,1.1911,-29.4459,-28.8458,-18.3583,8.317,20.7733,14.0254,02LF,2,5
02LF02,2,2,5,-33.3956,-15.1921,2,0,1.7164,0.4947,0.9116,-18.4582,-28.0191,-30.1727,15.6152,7.6085,19.8919,02LF,2,5
02LF02,2,3,5,-18.4602,-43.5261,1,0,2.6832,0.4947,0.9286,-21.0394,-22.9451,-32.6654,19.9839,7.6596,15.4721,02LF,2,5
02LF02,2,4,8,-35.5428,-36.9554,1,0,2.198,0.4486,1.6799,-28.0686,-18.4492,-30.1321,21.117,13.1805,8.8181,02LF,2,5
02LF02,2,5,2,-39.5733,-39.5733,1,1,1.9803,0.5887,0.9978,-26.0773,-19.0677,-31.505,21.5525,11.2382,10.3249,02LF,2,5
02LF02,2,6,2,-22.0057,-22.4989,2,0,3.2889,0.4876,1.5396,-21.2578,-32.7024,-22.6899,8.5912,13.545,20.9794,02LF,2,5
02LF02,3,1,5,-43.4622,-24.8701,3,0,4.812,0.4947,1.1333,-21.2882,-22.6552,-32.7066,20.175,7.7794,15.1611,02LF,2,6
02LF02,3,2,5,-26.3889,-26.3889,2,1,1.4894,0.4752,0.9383,-23.5914,-32.5295,-20.529,7.4434,16.1399,19.5323,02LF,2,6
02LF02,3,3,2,-16.438,-16.438,1,1,2.8199,0.4344,1.0251,-24.5465,-32.2263,-19.8772,7.2421,17.0677,18.8058,02LF,2,6
02LF02,3,4,8,-42.6559,-42.6559,3,1,1.5706,0.7677,0.9572,-21.1302,-32.6822,-22.8376,8.6881,13.3861,21.0414,02LF,2,6
02LF02,3,5,2,-15.4831,NA,NA,NA,NA,NA,NA,-19.1351,-25.9261,-31.5888,17.6413,7.1817,18.2927,02LF,2,6
02LF02,3,6,2,-41.1155,-41.1155,3,1,2.2733,0.7128,1.7882,-19.8134,-32.1864,-24.6502,10.0208,11.5794,21.5154,02LF,2,6
02LF02,3,7,2,-16.9413,NA,NA,NA,NA,NA,NA,-30.7157,-27.3108,-18.6236,9.3563,21.3533,12.4061,02LF,2,6
02LF02,3,8,2,-37.2744,-35.8328,2,0,2.3369,0.6259,1.0749,-29.4888,-28.8003,-18.361,8.3448,20.7965,13.9744,02LF,2,6
02LF03,1,1,5,-16.5684,-16.5684,1,1,1.7645,0.5408,1.452,-24.4109,-32.2764,-19.9627,7.2625,16.9401,18.913,02LF,3,7
02LF03,1,2,8,-15.3573,-15.3573,1,1,2.2309,0.75,1.4801,-28.6259,-29.6498,-18.3743,7.862,20.2906,14.9631,02LF,3,7
02LF03,1,3,8,-15.5308,-42.7488,2,0,1.8007,0.5177,0.8101,-31.6427,-19.1812,-25.8261,18.2083,17.7301,7.1772,02LF,3,7
02LF03,1,4,8,-38.5904,NA,NA,NA,NA,NA,NA,-31.0149,-26.8773,-18.7578,9.6841,21.4485,11.983,02LF,3,7
02LF03,1,5,8,-34.2617,-34.2617,1,1,2.3091,0.7145,1.716,-18.5606,-30.5419,-27.5475,12.643,9.1833,21.2893,02LF,3,7
02LF03,1,6,5,-41.0876,-41.0876,3,1,2.3235,0.5479,0.8195,-19.7963,-32.1753,-24.6784,10.0435,11.5532,21.5189,02LF,3,7
02LF03,1,7,8,-35.9901,-35.9901,1,1,1.8435,0.5089,1.5847,-28.7017,-18.3679,-29.5804,20.8454,13.8645,8.4057,02LF,3,7
02LF03,2,1,8,-18.186,-25.627,2,0,2.1472,0.4876,1.3472,-23.1187,-32.6348,-20.8965,7.5948,15.6549,19.866,02LF,3,8
02LF03,2,2,8,-28.1756,-16.2838,2,0,2.7498,0.4734,0.8621,-19.7729,-24.7171,-32.16,18.669,7.2202,17.2264,02LF,3,8
02LF03,2,3,2,-33.1904,-17.1129,2,0,2.1359,0.7128,1.3921,-18.6794,-30.8498,-27.1208,12.219,9.4982,21.3984,02LF,3,8
02LF03,2,4,2,-22.373,-22.373,3,1,2.2848,0.7926,1.0266,-32.6808,-22.847,-21.1222,13.3761,21.0452,8.6943,02LF,3,8
02LF03,2,5,5,-41.1628,-32.3768,3,0,2.7423,0.5851,1.3863,-18.6032,-27.3842,-30.6625,16.2646,7.4094,19.4416,02LF,3,8
02LF03,2,6,2,-42.9925,NA,NA,NA,NA,NA,NA,-21.5956,-32.738,-22.3164,8.355,13.9557,20.8049,02LF,3,8
02LF03,2,7,2,-25.6488,-25.6488,3,1,2.4737,0.8298,1.0213,-20.8856,-23.1321,-32.6322,19.8567,7.59,15.6689,02LF,3,8
02LF03,3,1,5,-42.6221,-42.6221,2,1,1.8483,0.8351,1.3625,-32.6749,-22.8857,-21.0894,13.3348,21.0608,8.72,02LF,3,9
02LF03,3,2,2,-25.02,-25.02,1,1,2.0505,0.8085,1.2108,-20.2805,-32.4338,-23.9358,9.4656,12.2615,21.3886,02LF,3,9
02LF03,3,3,2,-36.6274,-16.147,1,0,1.7085,0.6312,2.17,-29.9469,-28.2892,-18.4139,8.6703,21.0304,13.4148,02LF,3,9
02LF03,3,4,5,-37.3817,-37.3817,3,1,1.9374,0.5248,1.1411,-18.5077,-30.3692,-27.7731,12.873,9.0225,21.2201,02LF,3,9
02LF03,3,5,5,-42.0837,-42.0837,2,1,2.4258,0.7677,1.1024,-32.5312,-23.5851,-20.5338,12.6102,21.2986,9.2068,02LF,3,9
02LF03,3,6,2,-42.25,-42.25,2,1,1.4893,0.5745,1.5227,-32.5804,-23.3803,-20.6893,12.8182,21.2372,9.0602,02LF,3,9
02CS01,1,1,8,-16.304,NA,NA,NA,NA,NA,NA,-28.0792,-18.4474,-30.1234,21.113,13.1916,8.811,02CS,1,1
02CS01,1,2,2,-29.1836,-40.1595,1,0,3.7169,0.8138,4.8946,-25.5635,-19.3079,-31.7786,21.5719,10.7836,10.7602,02CS,1,1
02CS01,1,3,2,-37.0056,-37.0056,2,1,3.1247,0.75,2.6333,-30.1603,-28.0344,-18.4554,8.8415,21.1297,13.1445,02CS,1,1
02CS01,1,4,5,-26.1819,-26.1819,1,1,2.114,0.9167,3.8807,-32.5613,-20.6262,-23.4625,16.0094,19.6251,7.4811,02CS,1,1
02CS01,1,5,8,-34.1326,NA,NA,NA,NA,NA,NA,-28.472,-29.7878,-18.3902,7.7915,20.1926,15.1316,02CS,1,1
02CS01,1,6,5,-34.135,-16.7786,2,0,5.791,0.6135,3.0531,-18.5735,-30.5798,-27.4966,12.5918,9.2201,21.3037,02CS,1,1
02CS01,1,7,8,-17.2437,-38.4582,3,0,3.2785,0.7837,1.6506,-18.7239,-30.9464,-26.9797,12.0817,9.6054,21.4285,02CS,1,1
02CS01,1,8,8,-20.211,NA,NA,NA,NA,NA,NA,-20.0247,-32.3105,-24.3148,9.7555,11.895,21.4651,02CS,1,1
02CS01,1,9,8,-16.3116,-43.3666,1,0,2.4684,0.4184,1.8428,-19.792,-24.6855,-32.1725,18.6945,7.224,17.1971,02CS,1,1
02CS01,2,1,2,-20.8531,-41.877,3,0,6.3816,0.6011,1.4644,-20.356,-32.4652,-23.8289,9.3857,12.3668,21.3631,02CS,1,2
02CS01,2,2,8,-30.4745,-30.4745,2,1,15.5515,0.7128,3.4125,-26.1808,-31.446,-19.0232,7.1996,18.5043,17.4118,02CS,1,2
02CS01,2,3,8,-43.538,-43.538,2,1,3.0967,0.5461,10.3664,-32.4104,-20.2275,-24.012,16.5569,19.2207,7.3381,02CS,1,2
02CS01,2,4,8,-35.4213,-37.849,2,0,3.2156,0.5443,2.3441,-29.0523,-18.3509,-29.2468,20.6627,14.2596,8.1934,02CS,1,2
