block_c,PID,accuracy_value,accuracy_se,confidence_value,confidence_se
8,05AL,0.6666666666666666,0.19245008972987526,0.60785,0.06925556351867423
8,05CS,0.3333333333333333,0.19245008972987526,0.6264833333333333,0.045589672032945956
8,06AL,0.5,0.2041241452319315,0.6779,0.07866576119362721
8,06CS,0,0,0.6719833333333334,0.06124366915590596
8,07CS,0.6666666666666666,0.19245008972987526,0.5115333333333334,0.06992935292669526
8,07al,0.16666666666666666,0.15214515486254615,0.7124666666666667,0.06897762697473994
9,01LF,0.6,0.21908902300206645,0.6780200000000001,0.09149113834193295
9,01al,1,0,0.6631166666666667,0.05603357831387842
9,01cs,0,0,0.7124666666666667,0.018146770112418945
9,02CS,0.6,0.21908902300206645,0.8117,0.015549336870980557
9,02LF,0.8333333333333334,0.15214515486254612,0.6903,0.048114017121913384
9,02al,0.6,0.21908902300206645,0.72872,0.07551773349557304
9,03AL,0.16666666666666666,0.15214515486254615,0.78545,0.09310808303678908
9,03CS,0.5,0.2041241452319315,0.6974,0.08232545798911847
9,03LF,0.6666666666666666,0.19245008972987526,0.7228166666666667,0.006387347240947058
9,04AL,0.16666666666666666,0.15214515486254615,0.5833333333333334,0.055967115008415766
9,04CS,1,0,0.73255,0.04715194545509443
9,04LF,0.5,0.2041241452319315,0.5996,0.10640125070223116
9,05AL,0.5,0.2041241452319315,0.6096666666666667,0.08536249870252853
9,05CS,0.16666666666666666,0.15214515486254615,0.5118166666666667,0.03652840309630057
9,06AL,0.8333333333333334,0.15214515486254612,0.62765,0.08533410402870344
9,06CS,0.5,0.2041241452319315,0.5588,0.05421932551007679
9,07CS,0.6666666666666666,0.19245008972987526,0.4648333333333333,0.06332508021796167
9,07al,0.5,0.2041241452319315,0.7183833333333334,0.048060136262485564
10,02al,1,0,0.9314333333333333,0.004106544650062189
11,02al,NA,NA,NA,NA
12,02al,0.3333333333333333,0.19245008972987526,0.7047833333333333,0.0857690308291349
