dim_onset,PID,accuracy_value,accuracy_se,confidence_value,confidence_se
2,01LF,0.4375,0.12401959270615269,0.6305625,0.025531349912572228
2,01al,0.5294117647058824,0.12105782480647682,0.5796882352941176,0.04363304784409638
2,01cs,0.5,0.11785113019775792,0.7101055555555555,0.012723808966766628
2,02CS,0.7222222222222222,0.10557179862029056,0.7586722222222222,0.026176266605288427
2,02LF,0.5,0.125,0.6677875,0.03402881456428211
2,02al,0.6,0.15491933384829668,0.7562,0.05945362798112171
2,03AL,0.3888888888888889,0.11490438561102646,0.7650666666666667,0.056292770802966005
2,03CS,0.4444444444444444,0.11712139482105108,0.7259666666666666,0.040931378637643456
2,03LF,0.8333333333333334,0.0878410461157883,0.73315,0.009103941134568132
2,04AL,0.6111111111111112,0.11490438561102645,0.5974166666666667,0.03833319909371236
2,04CS,0.6666666666666666,0.11111111111111112,0.6770166666666667,0.04459442894050814
2,04LF,0.6666666666666666,0.11111111111111112,0.6977944444444445,0.04013347404239409
2,05AL,0.3888888888888889,0.11490438561102646,0.6657944444444445,0.048626203810333925
2,05CS,0.2222222222222222,0.09799078929868854,0.5702333333333334,0.03752159719771857
2,06AL,0.6111111111111112,0.11490438561102645,0.5641222222222222,0.04378891559627268
2,06CS,0.3125,0.11587810136086973,0.65060625,0.041875243077305335
2,07CS,0.3888888888888889,0.11490438561102646,0.4997,0.026385372845470947
2,07al,0.3888888888888889,0.11490438561102646,0.7230111111111112,0.04244383137509037
5,01LF,0.4117647058823529,0.11936462498726878,0.6358,0.03228358705442027
5,01al,0.8125,0.09757809372497497,0.6967,0.04482462833625695
5,01cs,0.4444444444444444,0.11712139482105108,0.6853777777777778,0.01770791147015389
5,02CS,0.5555555555555556,0.11712139482105108,0.67505,0.032565239355620064
5,02LF,0.5882352941176471,0.11936462498726878,0.5871941176470589,0.032749963560639625
5,02al,0.5454545454545454,0.150131422517231,0.6468454545454545,0.05812567420708108
5,03AL,0.6666666666666666,0.11111111111111112,0.83185,0.04934824123410115
5,03CS,0.6666666666666666,0.11111111111111112,0.7463444444444445,0.030754619415614935
5,03LF,0.6111111111111112,0.11490438561102645,0.7408555555555556,0.006951511151754846
5,04AL,0.3888888888888889,0.11490438561102646,0.5454,0.03565457426697471
5,04CS,0.6666666666666666,0.11111111111111112,0.6596666666666666,0.03657739141167933
5,04LF,0.6666666666666666,0.11111111111111112,0.7228222222222223,0.0393165984456755
5,05AL,0.4444444444444444,0.11712139482105108,0.6249,0.04328405872869804
5,05CS,0.16666666666666666,0.08784104611578832,0.49290555555555554,0.03267534162479682
5,06AL,0.8333333333333334,0.0878410461157883,0.6576944444444445,0.049884680409290665
5,06CS,0.2777777777777778,0.10557179862029056,0.6761166666666667,0.04600237068798968
5,07CS,0.5555555555555556,0.11712139482105108,0.45103333333333334,0.02699504446784185
5,07al,0.2777777777777778,0.10557179862029056,0.7024222222222223,0.035996657997369313
8,01LF,0.35294117647058826,0.11590404307573858,0.6887882352941177,0.029275241725182984
8,01al,0.6428571428571429,0.12806020814297073,0.5958642857142857,0.0622593909572793
8,01cs,0.3333333333333333,0.11111111111111112,0.6740555555555555,0.025237494413284312
8,02CS,0.47058823529411764,0.12105782480647682,0.7158941176470588,0.03212153576319834
8,02LF,0.47058823529411764,0.12105782480647682,0.6380882352941176,0.047275341203712275
8,02al,0.5454545454545454,0.150131422517231,0.8059272727272727,0.04192469819781734
8,03AL,0.8888888888888888,0.07407407407407408,0.9332111111111111,0.034077270188558204
8,03CS,0.5,0.11785113019775792,0.7306055555555555,0.0440446490201816
8,03LF,0.5,0.11785113019775792,0.7318777777777777,0.005179904970248915
8,04AL,0.3888888888888889,0.11490438561102646,0.5633388888888888,0.026326510418628397
8,04CS,0.5555555555555556,0.11712139482105108,0.7538333333333334,0.041313943599831524
8,04LF,0.7222222222222222,0.10557179862029056,0.7502944444444445,0.044093832729851706
8,05AL,0.6111111111111112,0.11490438561102645,0.6357388888888889,0.04323554867553674
8,05CS,0.16666666666666666,0.08784104611578832,0.5641166666666667,0.03078208419646583
8,06AL,0.7777777777777778,0.09799078929868854,0.6029333333333333,0.0499208654233175
8,06CS,0.25,0.10825317547305482,0.69136875,0.041994799322149494
8,07CS,0.3333333333333333,0.11111111111111112,0.4595222222222222,0.03327914490107809
8,07al,0.4444444444444444,0.11712139482105108,0.7564055555555556,0.03139439436870109
